"Label (Grouping)","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Occupied housing units!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent occupied housing units!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Owner-occupied housing units!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent owner-occupied housing units!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Renter-occupied housing units!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent renter-occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Percent occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Owner-occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Percent owner-occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Renter-occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Percent renter-occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Percent occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Owner-occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Percent owner-occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Renter-occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Percent renter-occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Percent occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Owner-occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Percent owner-occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Renter-occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Percent renter-occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Percent occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Owner-occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Percent owner-occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Renter-occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Percent renter-occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Percent occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Owner-occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Percent owner-occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Renter-occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Percent renter-occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Percent occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Owner-occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Percent owner-occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Renter-occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Percent renter-occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Percent occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Owner-occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Renter-occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Percent renter-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Owner-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Renter-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent renter-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Owner-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent owner-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Renter-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent renter-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Owner-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent owner-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Renter-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent renter-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Owner-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Renter-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent renter-occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Percent occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Owner-occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Percent owner-occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Renter-occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Percent renter-occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Percent occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Owner-occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Percent owner-occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Renter-occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Percent renter-occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Percent occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Owner-occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Percent owner-occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Renter-occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Percent renter-occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Percent occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Owner-occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Percent owner-occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Renter-occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Percent renter-occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Percent occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Owner-occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Percent owner-occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Renter-occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Percent renter-occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Percent occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Owner-occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Percent owner-occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Renter-occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Percent renter-occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Owner-occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Renter-occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent renter-occupied housing units!!Estimate"
"        With complete plumbing facilities","2,332,017","99.6%","1,565,876","99.7%","766,141","99.4%","1,032,667","99.7%","600,690","99.8%","431,977","99.6%","1,123,510","99.7%","753,832","99.7%","369,678","99.5%","1,099,867","99.7%","719,999","99.8%","379,868","99.5%","2,946,274","99.6%","1,764,473","99.7%","1,181,801","99.3%","1,241,957","99.8%","784,392","99.9%","457,565","99.6%","2,721,800","99.6%","1,671,549","99.6%","1,050,251","99.6%","691,745","99.8%","461,283","99.8%","230,462","99.8%","2,342,959","99.7%","1,448,241","99.7%","894,718","99.7%","1,497,005","99.7%","1,052,348","99.8%","444,657","99.5%","861,433","99.8%","559,745","99.8%","301,688","99.7%","1,070,478","99.7%","668,749","99.8%","401,729","99.5%","1,911,950","99.5%","1,280,129","99.6%","631,821","99.3%","1,023,891","99.5%","638,019","99.8%","385,872","99.1%","599,431","99.9%","396,975","99.9%","202,456","99.8%","1,176,884","99.7%","835,457","99.8%","341,427","99.7%","983,013","99.6%","632,319","99.7%","350,694","99.5%","1,622,181","99.7%","971,823","99.8%","650,358","99.5%","1,355,576","99.8%","920,184","99.8%","435,392","99.8%"
"        With complete kitchen facilities","2,328,278","99.4%","1,565,266","99.7%","763,012","99.0%","1,029,385","99.4%","599,733","99.6%","429,652","99.0%","1,122,439","99.6%","753,629","99.7%","368,810","99.3%","1,097,138","99.4%","719,591","99.7%","377,547","98.9%","2,935,065","99.2%","1,762,919","99.6%","1,172,146","98.5%","1,236,792","99.3%","783,683","99.8%","453,109","98.6%","2,712,617","99.3%","1,670,857","99.6%","1,041,760","98.8%","688,839","99.4%","460,860","99.7%","227,979","98.7%","2,335,839","99.4%","1,446,909","99.6%","888,930","99.0%","1,493,983","99.5%","1,052,040","99.8%","441,943","98.9%","858,334","99.4%","559,017","99.6%","299,317","99.0%","1,066,503","99.3%","668,203","99.7%","398,300","98.7%","1,909,604","99.4%","1,280,259","99.6%","629,345","98.9%","1,017,025","98.9%","636,976","99.7%","380,049","97.6%","597,696","99.6%","397,166","99.9%","200,530","98.8%","1,170,889","99.2%","833,781","99.6%","337,108","98.5%","980,734","99.4%","631,781","99.6%","348,953","99.0%","1,610,523","98.9%","971,061","99.7%","639,462","97.8%","1,350,561","99.4%","920,092","99.8%","430,469","98.6%"
"    VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        No vehicle available","124,175","5.3%","34,538","2.2%","89,637","11.6%","51,351","5.0%","10,559","1.8%","40,792","9.4%","119,173","10.6%","26,056","3.4%","93,117","25.1%","54,329","4.9%","15,071","2.1%","39,258","10.3%","142,458","4.8%","32,906","1.9%","109,552","9.2%","80,507","6.5%","17,036","2.2%","63,471","13.8%","158,102","5.8%","35,747","2.1%","122,355","11.6%","40,042","5.8%","10,796","2.3%","29,246","12.7%","177,576","7.6%","58,265","4.0%","119,311","13.3%","100,093","6.7%","20,919","2.0%","79,174","17.7%","38,822","4.5%","11,482","2.0%","27,340","9.0%","51,612","4.8%","16,213","2.4%","35,399","8.8%","99,119","5.2%","31,440","2.4%","67,679","10.6%","78,090","7.6%","13,276","2.1%","64,814","16.6%","24,707","4.1%","5,594","1.4%","19,113","9.4%","88,327","7.5%","26,007","3.1%","62,320","18.2%","58,770","6.0%","15,597","2.5%","43,173","12.2%","145,345","8.9%","28,651","2.9%","116,694","17.9%","79,011","5.8%","26,919","2.9%","52,092","11.9%"
"        1 vehicle available","764,848","32.7%","380,306","24.2%","384,542","49.9%","375,855","36.3%","153,317","25.5%","222,538","51.3%","394,218","35.0%","215,966","28.6%","178,252","48.0%","355,019","32.2%","170,695","23.7%","184,324","48.3%","995,399","33.6%","379,383","21.4%","616,016","51.8%","407,590","32.7%","187,840","23.9%","219,750","47.8%","905,653","33.2%","371,628","22.2%","534,025","50.7%","254,596","36.7%","135,263","29.3%","119,333","51.7%","935,877","39.8%","505,197","34.8%","430,680","48.0%","500,432","33.3%","265,565","25.2%","234,867","52.5%","275,947","32.0%","125,780","22.4%","150,167","49.6%","389,953","36.3%","194,983","29.1%","194,970","48.3%","656,501","34.2%","361,457","28.1%","295,044","46.4%","346,782","33.7%","162,111","25.4%","184,671","47.4%","178,940","29.8%","87,348","22.0%","91,592","45.1%","398,021","33.7%","224,318","26.8%","173,703","50.7%","330,161","33.5%","154,782","24.4%","175,379","49.7%","551,538","33.9%","240,414","24.7%","311,124","47.6%","564,553","41.5%","336,873","36.5%","227,680","52.2%"
"        2 vehicles available","902,271","38.5%","675,690","43.0%","226,581","29.4%","407,733","39.4%","283,110","47.0%","124,623","28.7%","396,467","35.2%","314,323","41.6%","82,144","22.1%","438,835","39.8%","315,317","43.7%","123,518","32.3%","1,158,787","39.2%","805,315","45.5%","353,472","29.7%","474,481","38.1%","346,664","44.1%","127,817","27.8%","1,063,587","38.9%","758,426","45.2%","305,161","28.9%","276,283","39.9%","210,754","45.6%","65,529","28.4%","855,129","36.4%","585,230","40.3%","269,899","30.1%","599,444","39.9%","492,883","46.7%","106,561","23.8%","334,951","38.8%","247,912","44.2%","87,039","28.8%","431,685","40.2%","297,393","44.4%","134,292","33.3%","727,641","37.9%","532,899","41.4%","194,742","30.6%","383,186","37.3%","277,298","43.4%","105,888","27.2%","254,309","42.4%","186,473","46.9%","67,836","33.4%","450,883","38.2%","367,957","43.9%","82,926","24.2%","378,754","38.4%","275,192","43.4%","103,562","29.4%","578,465","35.5%","413,182","42.4%","165,283","25.3%","513,117","37.8%","388,814","42.2%","124,303","28.5%"
"        3 or more vehicles available","549,989","23.5%","479,804","30.6%","70,185","9.1%","201,135","19.4%","155,206","25.8%","45,929","10.6%","217,462","19.3%","199,395","26.4%","18,067","4.9%","255,177","23.1%","220,349","30.5%","34,828","9.1%","662,741","22.4%","552,009","31.2%","110,732","9.3%","282,317","22.7%","233,940","29.8%","48,377","10.5%","604,501","22.1%","511,890","30.5%","92,611","8.8%","122,160","17.6%","105,393","22.8%","16,767","7.3%","381,338","16.2%","303,437","20.9%","77,901","8.7%","301,484","20.1%","275,077","26.1%","26,407","5.9%","213,744","24.8%","175,836","31.3%","37,908","12.5%","200,412","18.7%","161,491","24.1%","38,921","9.6%","438,807","22.8%","359,894","28.0%","78,913","12.4%","220,593","21.4%","186,465","29.2%","34,128","8.8%","142,350","23.7%","117,951","29.7%","24,399","12.0%","242,653","20.6%","219,200","26.2%","23,453","6.8%","219,276","22.2%","188,836","29.8%","30,440","8.6%","352,345","21.6%","291,876","30.0%","60,469","9.3%","202,107","14.9%","169,745","18.4%","32,362","7.4%"
"    TELEPHONE SERVICE AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With telephone service","2,325,930","99.3%","1,562,037","99.5%","763,893","99.1%","1,029,143","99.3%","598,429","99.4%","430,714","99.3%","1,118,220","99.2%","751,563","99.4%","366,657","98.7%","1,093,012","99.1%","715,428","99.2%","377,584","98.9%","2,936,293","99.2%","1,760,557","99.5%","1,175,736","98.8%","1,236,236","99.3%","782,274","99.6%","453,962","98.8%","2,704,228","99.0%","1,665,304","99.3%","1,038,924","98.6%","685,989","99.0%","458,498","99.2%","227,491","98.5%","2,323,593","98.9%","1,439,026","99.1%","884,567","98.5%","1,492,520","99.4%","1,050,288","99.6%","442,232","98.9%","857,365","99.3%","557,604","99.4%","299,761","99.1%","1,062,951","99.0%","666,411","99.5%","396,540","98.3%","1,902,230","99.0%","1,277,714","99.4%","624,516","98.1%","1,021,955","99.3%","636,075","99.5%","385,880","99.1%","597,827","99.6%","395,967","99.6%","201,860","99.5%","1,171,427","99.3%","833,213","99.5%","338,214","98.8%","979,302","99.2%","629,882","99.3%","349,420","99.1%","1,614,762","99.2%","968,337","99.4%","646,425","98.9%","1,347,568","99.2%","915,920","99.3%","431,648","98.9%"
"    HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Utility gas","1,215,802","51.9%","955,783","60.9%","260,019","33.7%","404,327","39.0%","300,974","50.0%","103,353","23.8%","524,061","46.5%","367,412","48.6%","156,649","42.2%","453,221","41.1%","365,707","50.7%","87,514","22.9%","1,040,845","35.2%","858,843","48.5%","182,002","15.3%","827,576","66.5%","605,036","77.0%","222,540","48.4%","1,179,311","43.2%","977,226","58.2%","202,085","19.2%","29,656","4.3%","20,695","4.5%","8,961","3.9%","84,950","3.6%","57,477","4.0%","27,473","3.1%","1,099,296","73.2%","867,273","82.2%","232,023","51.9%","286,018","33.1%","238,036","42.4%","47,982","15.9%","61,158","5.7%","41,167","6.1%","19,991","5.0%","547,491","28.5%","444,094","34.5%","103,397","16.2%","434,948","42.3%","353,136","55.3%","81,812","21.0%","212,871","35.5%","177,415","44.6%","35,456","17.5%","717,465","60.8%","567,855","67.8%","149,610","43.7%","242,375","24.6%","195,293","30.8%","47,082","13.4%","611,908","37.6%","503,616","51.7%","108,292","16.6%","77,940","5.7%","60,784","6.6%","17,156","3.9%"
"        Bottled, tank, or LP gas","78,394","3.3%","58,631","3.7%","19,763","2.6%","41,385","4.0%","31,306","5.2%","10,079","2.3%","40,972","3.6%","30,882","4.1%","10,090","2.7%","31,250","2.8%","23,283","3.2%","7,967","2.1%","57,930","2.0%","45,280","2.6%","12,650","1.1%","33,835","2.7%","25,539","3.3%","8,296","1.8%","61,105","2.2%","49,305","2.9%","11,800","1.1%","9,645","1.4%","7,904","1.7%","1,741","0.8%","12,314","0.5%","8,295","0.6%","4,019","0.4%","68,071","4.5%","57,473","5.5%","10,598","2.4%","21,741","2.5%","16,831","3.0%","4,910","1.6%","8,754","0.8%","5,357","0.8%","3,397","0.8%","23,398","1.2%","15,990","1.2%","7,408","1.2%","15,325","1.5%","9,747","1.5%","5,578","1.4%","25,220","4.2%","19,236","4.8%","5,984","2.9%","59,209","5.0%","48,433","5.8%","10,776","3.1%","22,495","2.3%","17,804","2.8%","4,691","1.3%","31,212","1.9%","24,215","2.5%","6,997","1.1%","13,737","1.0%","10,229","1.1%","3,508","0.8%"
"        Electricity","1,022,057","43.7%","541,844","34.5%","480,213","62.3%","576,492","55.6%","261,559","43.4%","314,933","72.6%","463,759","41.1%","275,484","36.5%","188,275","50.7%","595,098","53.9%","316,833","43.9%","278,265","72.9%","1,823,471","61.6%","847,633","47.9%","975,838","82.0%","354,014","28.4%","137,299","17.5%","216,715","47.2%","1,456,942","53.3%","635,718","37.9%","821,224","77.9%","640,868","92.5%","425,301","92.0%","215,567","93.4%","2,124,465","90.4%","1,305,931","89.9%","818,534","91.2%","295,694","19.7%","109,771","10.4%","185,923","41.6%","543,429","62.9%","300,364","53.5%","243,065","80.4%","965,436","89.9%","595,123","88.8%","370,313","91.8%","1,301,695","67.7%","789,802","61.4%","511,893","80.4%","537,521","52.3%","244,378","38.2%","293,143","75.3%","354,259","59.0%","196,135","49.4%","158,124","77.9%","384,929","32.6%","207,239","24.7%","177,690","51.9%","703,988","71.3%","410,508","64.7%","293,480","83.2%","920,377","56.5%","403,798","41.5%","516,579","79.0%","1,231,839","90.7%","826,916","89.7%","404,923","92.8%"
"        Fuel oil, kerosene, etc.","2,030","0.1%","1,365","0.1%","665","0.1%","586","0.1%","386","0.1%","200","0.0%","73,222","6.5%","64,930","8.6%","8,292","2.2%","7,676","0.7%","5,340","0.7%","2,336","0.6%","2,470","0.1%","1,342","0.1%","1,128","0.1%","1,262","0.1%","323","0.0%","939","0.2%","2,108","0.1%","689","0.0%","1,419","0.1%","1,557","0.2%","1,122","0.2%","435","0.2%","4,351","0.2%","3,016","0.2%","1,335","0.1%","6,147","0.4%","4,855","0.5%","1,292","0.3%","1,244","0.1%","834","0.1%","410","0.1%","1,794","0.2%","1,443","0.2%","351","0.1%","1,383","0.1%","749","0.1%","634","0.1%","9,301","0.9%","7,850","1.2%","1,451","0.4%","1,058","0.2%","603","0.2%","455","0.2%","2,536","0.2%","1,935","0.2%","601","0.2%","236","0.0%","206","0.0%","30","0.0%","23,761","1.5%","18,748","1.9%","5,013","0.8%","1,429","0.1%","1,126","0.1%","303","0.1%"
"        Coal or coke","704","0.0%","306","0.0%","398","0.1%","299","0.0%","0","0.0%","299","0.1%","909","0.1%","827","0.1%","82","0.0%","48","0.0%","48","0.0%","0","0.0%","1,036","0.0%","54","0.0%","982","0.1%","58","0.0%","0","0.0%","58","0.0%","117","0.0%","117","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","305","0.0%","0","0.0%","305","0.0%","163","0.0%","102","0.0%","61","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","407","0.0%","0","0.0%","407","0.1%","110","0.0%","110","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","206","0.0%","150","0.0%","56","0.0%","77","0.0%","0","0.0%","77","0.0%","212","0.0%","109","0.0%","103","0.0%","114","0.0%","15","0.0%","99","0.0%"
"        All other fuels","8,973","0.4%","7,034","0.4%","1,939","0.3%","7,082","0.7%","6,093","1.0%","989","0.2%","16,989","1.5%","12,805","1.7%","4,184","1.1%","7,626","0.7%","6,084","0.8%","1,542","0.4%","14,989","0.5%","10,755","0.6%","4,234","0.4%","21,350","1.7%","14,872","1.9%","6,478","1.4%","11,854","0.4%","7,295","0.4%","4,559","0.4%","4,241","0.6%","3,657","0.8%","584","0.3%","7,725","0.3%","6,286","0.4%","1,439","0.2%","21,382","1.4%","12,729","1.2%","8,653","1.9%","5,889","0.7%","3,580","0.6%","2,309","0.8%","17,039","1.6%","16,424","2.5%","615","0.2%","26,113","1.4%","23,896","1.9%","2,217","0.3%","24,859","2.4%","21,747","3.4%","3,112","0.8%","3,331","0.6%","2,934","0.7%","397","0.2%","11,090","0.9%","9,451","1.1%","1,639","0.5%","8,368","0.8%","7,132","1.1%","1,236","0.4%","26,061","1.6%","21,679","2.2%","4,382","0.7%","12,153","0.9%","11,731","1.3%","422","0.1%"
"        No fuel used","13,323","0.6%","5,375","0.3%","7,948","1.0%","5,903","0.6%","1,874","0.3%","4,029","0.9%","7,408","0.7%","3,400","0.4%","4,008","1.1%","8,441","0.8%","4,137","0.6%","4,304","1.1%","18,644","0.6%","5,706","0.3%","12,938","1.1%","6,800","0.5%","2,411","0.3%","4,389","1.0%","20,406","0.7%","7,341","0.4%","13,065","1.2%","7,114","1.0%","3,527","0.8%","3,587","1.6%","115,810","4.9%","71,124","4.9%","44,686","5.0%","10,700","0.7%","2,241","0.2%","8,459","1.9%","5,143","0.6%","1,365","0.2%","3,778","1.2%","19,481","1.8%","10,566","1.6%","8,915","2.2%","21,581","1.1%","11,159","0.9%","10,422","1.6%","6,587","0.6%","2,182","0.3%","4,405","1.1%","3,567","0.6%","1,043","0.3%","2,524","1.2%","4,449","0.4%","2,419","0.3%","2,030","0.6%","9,422","1.0%","3,464","0.5%","5,958","1.7%","14,162","0.9%","1,958","0.2%","12,204","1.9%","21,576","1.6%","11,550","1.3%","10,026","2.3%"
